x,y,delay
0.0,0.0,3000.0
1.0,0.0,3000.0
2.0,0.0,3000.0
3.0,0.0,3000.0
4.0,0.0,3000.0
5.0,0.0,3000.0
6.0,0.0,3000.0
0.0,1.1,2000.0
1.0,1.1,1000.0
2.0,1.1,800.0
3.0,1.1,400.0
4.0,1.1,600.0
5.0,1.1,1000.0
6.0,1.1,2000.0
0.0,2.2,2000.0
1.0,2.2,1000.0
2.0,2.2,100.0
3.0,2.2,0.0
4.0,2.2,200.0
5.0,2.2,1000.0
6.0,2.2,2000.0
0.0,3.3000000000000003,2000.0
1.0,3.3000000000000003,1000.0
2.0,3.3000000000000003,600.0
3.0,3.3000000000000003,300.0
4.0,3.3000000000000003,800.0
5.0,3.3000000000000003,1000.0
6.0,3.3000000000000003,2000.0
0.0,4.4,2000.0
1.0,4.4,1500.0
2.0,4.4,1500.0
3.0,4.4,1500.0
4.0,4.4,1500.0
5.0,4.4,1500.0
6.0,4.4,2000.0
0.0,5.5,2500.0
1.0,5.5,2500.0
2.0,5.5,2500.0
3.0,5.5,2500.0
4.0,5.5,2500.0
5.0,5.5,2500.0
6.0,5.5,2500.0
